Re:End of a Dream,もりもりあつし,15,212,,
0,-7,-2,0,8,1
0,-5,0,1,2,1
0,-3,2,3,8,1
0,-1,0,1,4,1
0,7,-2,7,8,1
0,5,0,1,2,1
0,3,2,3,8,1
0,1,0,1,4,1
0,-7,-2,7,8,1
0,-5,0,1,2,1
0,-3,2,3,8,1
0,-1,0,1,4,1
0,7,-2,7,8,1
0,5,0,1,2,1
0,3,2,3,8,1
0,1,0,1,4,1
0,-6,-1,7,8,1
0,-3,0,1,4,1
0,-2,0,1,8,1
0,6,-1,5,8,1
0,3,0,1,4,1
0,2,0,1,8,1
0,-6,1,5,8,1
0,-3,0,1,4,1
0,-2,0,1,8,1
0,6,1,5,8,1
0,3,0,1,4,1
0,2,0,1,8,1
0,-4,2,5,8,1
0,-4,1,1,4,1
0,-4,-1,1,4,1
0,-4,-2,1,4,1
0,4,2,1,4,1
0,4,1,1,4,1
0,4,-1,1,4,1
0,4,-2,1,4,1
0,4,0,1,4,1
0,2,0,1,4,1
0,-4,0,1,4,1
0,-2,0,1,4,1
0,0,0,1,4,1
0,-6,1,1,1,1
0,-4,0,1,4,1
0,-2,-1,1,4,1
0,6,1,1,2,1
0,5,0,1,4,1
0,2,-1,1,4,1
0,-5,1,1,2,1
0,-3,0,1,4,1
0,-5,-1,1,4,1
0,5,1,1,2,1
0,3,0,1,4,1
0,5,-1,1,4,1
0,-6,-1,1,2,1
0,-4,0,1,4,1
0,-2,1,1,4,1
0,6,-1,1,2,1
0,5,0,1,4,1
0,2,1,1,4,1
0,-5,-1,1,2,1
0,-3,0,1,4,1
0,-5,1,1,4,1
0,5,-1,1,2,1
0,3,0,1,4,1
0,5,1,1,4,1
0,4,2,1,2,1
0,4,2,3,8,1
0,-4,2,5,8,1
0,-4,2,3,8,1
0,-4,-2,5,8,1
0,-4,-2,3,8,1
0,4,-2,5,8,1
0,4,-2,3,8,1
0,4,0,5,8,1
0,4,0,3,8,1
0,-4,0,5,8,1
0,-4,0,3,8,1
0,0,0,5,8,1
0,0,0,1,2,1
0,0,0,1,2,1
0,4,-2,1,1,1
0,3,0,1,4,1
0,2,2,1,4,1
0,-4,-2,1,2,1
0,-3,0,1,4,1
0,-2,2,1,4,1
0,2,-2,1,2,1
0,3,0,1,4,1
0,4,2,1,4,1
0,-2,-2,1,2,1
0,-3,0,1,4,1
0,-4,2,1,4,1
0,2,0,1,2,1
0,2,0,3,8,1
0,-2,0,5,8,1
0,-2,0,3,8,1
0,0,0,5,8,1
0,0,0,1,2,1
0,0,0,3,8,1
0,6,1,9,8,1
0,4,1,3,8,1
0,2,1,1,1,1
0,0,1,3,8,1
0,-6,-1,1,4,1
0,-4,-1,3,8,1
0,-2,-1,5,8,1
0,0,-1,3,8,1
0,-6,1,5,8,1
0,-4,1,3,8,1
0,-2,1,1,1,1
0,0,1,3,8,1
0,6,-1,1,4,1
0,4,-1,3,8,1
0,2,-1,5,8,1
0,0,-1,3,8,1
0,-5,-2,5,8,1
0,-4,-1,1,4,1
0,-3,-1,1,8,1
0,-2,0,1,4,1
0,-1,0,1,8,1
0,-4,1,1,4,1
0,-3,1,1,8,1
0,-6,2,1,4,1
0,-5,2,1,8,1
0,5,-2,1,2,1
0,4,-1,1,4,1
0,3,-1,1,8,1
0,2,0,1,4,1
0,1,0,1,8,1
0,4,1,1,4,1
0,3,1,1,8,1
0,6,2,1,4,1
0,5,2,1,8,1
0,4,0,1,2,1
0,-4,0,1,2,1
0,4,0,1,2,1
0,-4,0,1,2,1
0,2,-2,1,2,1
0,-2,-2,1,2,1
0,3,2,1,2,1
0,0,0,1,4,1
0,-3,-2,1,4,1
0,-6,3,1,2,1
0,-4,2,1,4,1
0,-2,1,1,4,1
0,6,3,1,2,1
0,4,2,1,4,1
0,2,1,1,4,1
0,-6,-3,1,2,1
0,-4,-2,1,4,1
0,-2,-1,1,4,1
0,6,-3,1,2,1
0,4,-2,1,4,1
0,2,-1,1,4,1
0,-5,-2,1,2,1
0,-3,-1,1,4,1
0,-4,0,1,4,1
0,-2,1,1,4,1
0,5,-2,1,4,1
0,3,-1,1,4,1
0,4,0,1,4,1
0,2,1,1,4,1
0,5,0,1,4,1
0,-5,0,1,2,1
