Re:End of a Dream,もりもりあつし,20,212,689,
0,-7,-3,0,8,1
0,-4,0,1,8,1
0,-7,3,1,8,1
0,7,-3,1,4,1
0,5,-1.5,1,8,1
0,3,0,1,8,1
0,5,1.5,1,8,1
0,7,3,1,4,1
0,7,-3,7,8,1
0,4,0,1,8,1
0,7,3,1,8,1
0,-7,-3,1,4,1
0,-5,-1.5,1,8,1
0,-3,0,1,8,1
0,-5,1.5,1,8,1
0,-7,3,1,4,1
0,0,3,1,4,1
0,0,0,1,8,1
0,0,-3,1,4,1
0,7,3,1,4,1
0,4,0,1,8,1
0,7,-3,1,8,1
0,-7,3,1,4,1
0,-5,1.5,1,8,1
0,-3,0,1,8,1
0,-5,-1.5,1,8,1
0,-7,-3,1,4,1
0,-7,3,7,8,1
0,-4,0,1,8,1
0,-7,-3,1,8,1
0,7,3,1,4,1
0,5,1.5,1,8,1
0,3,0,1,8,1
0,5,-1.5,1,8,1
0,7,-3,1,4,1
0,0,0,3,8,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,-7,-3,1,16,1
0,-4,-2,1,8,1
0,-6,-1,1,8,1
0,-3,0,1,8,1
0,-1,2,1,4,1
0,-4,3,1,8,1
0,7,-3,1,4,1
0,4,-2,1,8,1
0,6,-1,1,8,1
0,3,0,1,8,1
0,1,2,1,4,1
0,4,3,1,8,1
0,-7,-3,1,4,1
0,-4,-2,1,8,1
0,-6,-1,1,8,1
0,-3,0,1,8,1
0,-1,2,1,4,1
0,-4,3,1,8,1
0,-6,3,1,8,1
0,7,-3,1,8,1
0,6,-2.66,1,24,1
0,5,-2.33,1,24,1
0,4,-2,1,24,1
0,6,-1,1,8,1
0,3,0,1,8,1
0,1,2,1,4,1
0,4,3,1,8,1
0,-4,2,1,4,1
0,4,2,1,4,1
0,-4,-2,1,4,1
0,4,-2,1,4,1
0,4,0,1,4,1
0,-4,0,1,4,1
0,0,2,1,4,1
0,0,-2,1,4,1
0,-6,0,1,4,1
0,-5,0,1,8,1
0,6,0,1,8,1
0,6,0,1,8,1
0,4,-2,1,8,1
0,2,0,1,16,1
0,4,2,1,16,1
0,-4,-2,1,8,1
0,-2,0,1,16,1
0,-4,2,1,16,1
0,-4,3,1,6,1
0,0,0,1,6,1
0,4,-3,1,6,1
0,4,3,1,6,1
0,0,0,1,6,1
0,-4,-3,1,6,1
0,4,-1,3,8,1
0,6,0,1,8,1
0,7,2,1,4,1
0,5,3,1,8,1
0,-6,-4,1,4,1
0,-4,-3,1,8,1
0,-2,-2,1,16,1
0,-4,-1,1,16,1
0,-6,0,1,8,1
0,-7,2,1,4,1
0,-5,3,1,8,1
0,6,-4,1,4,1
0,4,-3,1,8,1
0,2,-2,1,16,1
0,4,-1,1,16,1
0,6,0,1,8,1
0,7,2,1,4,1
0,5,3,1,8,1
0,-6,-4,1,4,1
0,-4,-3,1,16,1
0,-2,-2,1,16,1
0,-4,-1,1,8,1
0,-6,0,1,8,1
0,-7,2,1,4,1
0,-5,3,1,8,1
0,6,-4,1,4,1
0,2,-3,1,8,1
0,4,-2,1,16,1
0,2,-1,1,16,1
0,6,0,1,8,1
0,7,2,1,4,1
0,5,3,1,8,1
0,-6,-4,1,4,1
0,-2,-3,1,8,1
0,-4,-2,1,16,1
0,-2,-1,1,16,1
0,-6,0,1,8,1
0,-7,2,1,4,1
0,-5,3,1,8,1
0,6,-4,1,4,1
0,2,-3,1,8,1
0,4,-2,1,16,1
0,2,-1,1,16,1
0,6,0,1,8,1
0,7,2,1,4,1
0,5,3,1,8,1
0,-6,4,1,4,1
0,-4,2,1,8,1
0,-2,0,1,8,1
0,-4,-2,1,8,1
0,-6,-4,1,8,1
0,5,3,1,2,0.5
0,5,3,3,8,1
0,-4,1,5,8,0.5
0,-4,1,3,8,1
0,2,-2,5,8,0.5
0,2,-2,3,8,1
0,-6,-3,5,8,0.5
0,-6,-3,3,8,1
0,5,-1,5,8,0.5
0,4,-1,3,8,1
0,-5,1,5,8,0.5
0,-4,1,3,8,1
0,0,0,5,8,1
0,4,-2,3,8,1
0,3,0,1,16,1
0,2,2,1,16,1
0,-4,-2,3,8,1
0,-3,0,1,16,1
0,-2,2,1,16,1
0,4,0,1,4,1
0,-4,0,1,4,1
0,4,0,1,4,1
0,2,-3,1,4,1
0,2,-3,1,8,1
0,6,-2,1,16,1
0,2,-1,1,8,1
0,6,0,1,16,1
0,2,1,1,8,1
0,6,2,1,16,1
0,2,3,1,8,1
0,6,4,1,16,1
0,-2,-3,1,4,1
0,-2,-3,1,8,1
0,-6,-2,1,16,1
0,-2,-1,1,8,1
0,-6,0,1,16,1
0,-2,1,1,8,1
0,-6,2,1,16,1
0,-2,3,1,8,1
0,-6,4,1,16,1
0,-4,-3,1,4,1
0,-4,-3,1,8,1
0,4,-2,1,16,1
0,4,-1,1,8,1
0,-4,0,1,16,1
0,-4,1,1,8,1
0,4,2,1,16,1
0,4,3,1,8,1
0,-4,4,1,16,1
0,0,0,1,4,1
0,4,0,1,2,1
0,-4,0,1,4,1
0,4,3,1,4,1
0,2,2,1,4,1
0,6,1,1,8,1
0,6,0,1,4,1
0,2,-1.5,1,16,1
0,6,-3,1,16,1
0,-6,3,1,4,1
0,-2,1.5,1,16,1
0,-6,0,1,16,1
0,-4,-1,1,4,1
0,-2,-2,1,4,1
0,-6,-3,1,8,1
0,0,0,1,4,1
0,0,0,1,4,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,16,1
0,0,0,1,8,1
0,4,-3,1,4,1
0,-3,-3,1,4,1
0,-1,-1,1,8,1
0,1,1,1,8,1
0,3,3,1,8,1
0,-3,3,1,4,1
0,-4,4,1,4,0.75
0,-6,3,1,4,0.75
0,-2,2,1,8,0.75
0,-2,1,1,1,0.75
0,-3.5,0.66,1,8,0.75
0,-5,0.33,1,4,0.75
0,-6.5,0,1,8,0.75
0,-6,-1,1,8,0.75
0,-5,-2,1,4,0.75
0,-4,-2,1,8,0.75
0,-3,-3,1,4,0.75
0,-2,0,3,8,0.5
0,2,0,3,8,0.5
0,4,4,5,8,0.75
0,6,3,1,4,0.75
0,3,2,1,8,0.75
0,3,1,1,1,0.75
0,3.5,0.66,1,8,0.75
0,5,0.33,1,4,0.75
0,6.5,0,1,8,0.75
0,6,-1,1,8,0.75
0,5,-2,1,4,0.75
0,4,-2,1,8,0.75
0,2,-2.5,1,24,0.75
0,4,-3,1,24,0.75
0,6,-3.5,1,24,0.75
0,8,-4,1,8,0.75
0,2,0,3,8,0.5
0,-2,0,3,8,0.5
0,0,0,3,8,1
0,0,0,1,24,1
0,0,0,1,24,1
0,0,0,1,24,1
0,0,0,1,24,1
0,0,0,1,24,1
0,8,-4,1,24,1
0,7,-2.5,1,8,1
0,4,-1.5,1,16,1
0,6,-1,1,16,1
0,5,1,1,8,1
0,4,2,1,8,1
0,1,2.5,1,16,1
0,3,4,1,16,1
0,6,-4,1,8,1
0,5,-2.5,1,8,1
0,2,-1.5,1,16,1
0,4,-1,1,16,1
0,3,1,1,8,1
0,2,2,1,8,1
0,-1,2.5,1,16,1
0,1,4,1,16,1
0,-2,0,1,8,1
0,2,0,1,4,1
0,-8,-4,1,4,1
0,-7,-2.5,1,8,1
0,-4,-1.5,1,16,1
0,-6,-1,1,16,1
0,-5,1,1,8,1
0,-4,2,1,8,1
0,-1,2.5,1,16,1
0,-3,4,1,16,1
0,-6,-4,1,8,1
0,-5,-2.5,1,8,1
0,-2,-1.5,1,16,1
0,-4,-1,1,16,1
0,-3,1,1,8,1
0,-2,2,1,8,1
0,1,2.5,1,16,1
0,-2,4,1,16,1
0,2,0,1,8,1
0,-2,0,1,4,1
0,0,0,1,4,1
0,6,0,3,8,1
0,6,0,1,16,1
0,6,0,1,16,1
0,-6,0,3,8,1
0,-6,0,1,16,1
0,-6,0,1,16,1
0,3,0,3,8,1
0,3,0,1,16,1
0,3,0,1,16,1
0,-3,0,3,8,1
0,-3,0,1,16,1
0,-3,0,1,16,1
0,-2,2,1,6,1
0,2,-2,1,6,1
0,3,2,1,6,1
0,0,0,1,6,1
0,-3,-2,1,6,1
0,-3,3,1,6,1
0,-1,1,1,6,1
0,1,-1,1,6,1
0,3,-3,1,6,1
0,6,-3,1,2,1
0,-6,-3,1,4,1
0,-4,-2,1,4,1
0,-1,-1,1,16,1
0,-3,0,1,16,1
0,0,1,1,16,1
0,-2,2,1,16,1
0,-6,-3,1,8,1
0,6,-3,3,8,1
0,4,-2,1,4,1
0,1,-1,1,16,1
0,3,0,1,16,1
0,0,1,1,16,1
0,2,2,1,16,1
0,-4,3,1,4,1
0,4,3,1,4,1
0,2,2,1,4,1
0,-2,1,1,16,1
0,2,0,1,16,1
0,-2,-1,1,16,1
0,2,-2,1,16,1
0,3,-3,1,4,1
0,-3,-3,1,4,1
0,3,0,1,4,1
0,-3,0,1,8,1
0,-5,0,3,8,1
0,-2.5,0,1,4,1
0,1,-3,1,4,1
0,6,-1.5,1,16,1
0,3,0,1,16,1
0,6,1.5,1,16,1
0,1,3,1,16,1
0,5,0,1,4,1
0,2.5,0,1,4,1
0,-1,-3,1,4,1
0,-6,-1.5,1,16,1
0,-3,0,1,16,1
0,-6,1.5,1,16,1
0,-1,3,1,16,1
0,4,0,1,4,1
0,-4,0,1,2,1
0,-6,-3,1,2,1
0,-2,-2,1,12,1
0,2,-1,1,12,1
0,6,0,1,12,1
0,2,1,1,12,1
0,-2,2,1,12,1
0,-6,3,1,12,1
0,-6,-3,1,2,1
0,-3,-1,1,8,1
0,-3,1,1,8,1
0,-6,3,1,8,1
0,-4,3,1,4,1
0,-2,2,1,8,1
0,6,-3,1,4,1
0,3,-1,1,8,1
0,3,1,1,8,1
0,6,3,1,8,1
0,4,3,1,4,1
0,2,2,1,8,1
0,3,1,1,4,1
0,0,0,3,16,1
0,-3,-1,3,16,1
0,-4,-4,1,8,1
0,4,-2,1,16,1
0,-4,0,1,16,1
0,4,2,1,16,1
0,-4,4,1,16,1
0,4,-4,1,4,1
0,-4,-2,1,16,1
0,4,0,1,16,1
0,-4,2,1,16,1
0,4,4,1,16,1
0,-5,0,1,4,1
0,5,0,1,4,1
0,0,3,1,4,1
0,0,-3,1,8,1
0,-3,-1,1,4,1
0,0,2,1,4,1
0,3,-1,1,4,1
0,3,2,1,4,1
0,1,1,1,8,1
0,-1,-1,1,8,1
0,-3,-2,1,8,1
0,4,0,1,4,1
0,-4,0,1,8,1
0,6,-3,3,16,1
0,4,-2,3,16,1
0,2,-1,1,8,1
0,-6,-3,3,16,1
0,-4,-2,3,16,1
0,-2,-1,1,8,1
0,3,-1,3,16,1
0,1,0,3,16,1
0,-3,-1,1,8,1
0,-1,0,1,8,1
0,0,0,1,2,1
0,4,-2,7,4,1
0,-4,-2,1,4,1
0,0,0,1,1,1
0,-4,-1,1,2,1
0,-2,-1,1,8,1
0,2,1,1,8,1
0,4,1,1,8,1
0,7,-3,1,8,1
0,7,-2,1,8,1
0,5,-1.5,1,16,1
0,3,-1,1,16,1
0,3,0,1,8,1
0,3,1,1,8,1
0,5,1.5,1,16,1
0,7,2,1,16,1
0,5,3,1,8,1
0,4,4,1,8,1
0,-7,-3,1,8,1
0,-7,-2,1,8,1
0,-5,-1.5,1,16,1
0,-3,-1,1,16,1
0,-3,0,1,8,1
0,-3,1,1,8,1
0,-5,1.5,1,16,1
0,-7,2,1,16,1
0,-5,3,1,8,1
0,-4,4,1,8,1
0,-4,0,1,8,1
0,-4,0,1,8,1
0,4,0,3,8,1
0,4,0,1,8,1
0,0,0,3,8,1
0,0,0,1,8,1
0,0,0,3,8,1
0,0,0,1,8,1
0,0,0,3,8,1
0,3,0,3,1,1
0,3,0,1,8,1
0,-3,0,1,8,1
0,-3,0,1,8,1
0,0,0,1,8,1
0,0,0,1,8,1
0,0,0,1,4,1
0,5,0,1,8,1
0,2.5,0,1,4,1
0,-1,-3,1,4,1
0,-6,-1.5,1,16,1
0,-3,0,1,16,1
0,-6,1.5,1,16,1
0,-1,3,1,16,1
0,-5,0,1,4,1
0,-2.5,0,1,4,1
0,1,-3,1,4,1
0,6,-1.5,1,16,1
0,3,0,1,16,1
0,6,1.5,1,16,1
0,1,3,1,16,1
0,-4,0,1,4,1
0,4,0,1,2,1
0,6,-3,1,2,1
0,2,-2,1,12,1
0,-2,-1,1,12,1
0,-6,0,1,12,1
0,-2,1,1,12,1
0,2,2,1,12,1
0,6,3,1,12,1
0,6,-3,1,2,1
0,3,-1,1,8,1
0,3,1,1,8,1
0,6,3,1,8,1
0,4,3,1,4,1
0,2,2,1,8,1
0,-6,-3,1,4,1
0,-3,-1,1,8,1
0,-3,1,1,8,1
0,-6,3,1,8,1
0,-4,3,1,4,1
0,-2,2,1,8,1
0,-3,1,1,4,1
0,0,0,3,16,1
0,3,-1,3,16,1
0,4,-4,1,8,1
0,-4,-2,1,16,1
0,4,0,1,16,1
0,-4,2,1,16,1
0,4,4,1,16,1
0,-4,-4,1,4,1
0,4,-2,1,16,1
0,-4,0,1,16,1
0,4,2,1,16,1
0,-4,4,1,16,1
0,4,-4,1,4,1
0,-4,-2,1,16,1
0,4,0,1,16,1
0,-4,2,1,16,1
0,4,4,1,16,1
0,0,3,1,4,1
0,0,-3,1,8,1
0,3,-1,1,4,1
0,0,2,1,4,1
0,-3,-1,1,4,1
0,-3,2,1,4,1
0,-1,1,1,8,1
0,1,-1,1,8,1
0,3,-2,1,8,1
0,-4,0,1,4,1
0,4,0,1,8,1
0,0,0,17,8,1
0,4,0,7,4,1
0,-4,0,1,8,1
0,4,0,1,8,1
0,-6,-3,3,16,1
0,-4,-2,3,16,1
0,-2,-1,1,8,1
0,6,-3,3,16,1
0,4,-2,3,16,1
0,3,-1,1,8,1
0,1,0,3,16,1
0,-1,0,3,16,1
0,-3,-1,1,8,1
0,-7,-3,1,2,1
0,-4,-2,1,8,1
0,-6,-1.5,1,16,1
0,-4,-1,1,16,1
0,-3,0,1,8,1
0,-1,2,1,4,1
0,-4,3,1,8,1
0,7,-3,1,4,1
0,4,-2,1,8,1
0,6,-1.5,1,16,1
0,4,-1,1,16,1
0,3,0,1,8,1
0,1,2,1,4,1
0,4,3,1,8,1
0,-7,-3,1,4,1
0,-4,-2,1,8,1
0,-6,-1.5,1,16,1
0,-4,-1,1,16,1
0,-3,0,1,8,1
0,-1,2,1,4,1
0,-4,3,1,8,1
0,-6,3,1,8,1
0,7,-3,1,8,1
0,6,-2.66,1,24,1
0,5,-2.33,1,24,1
0,4,-2,1,24,1
0,6,-1,1,8,1
0,3,0,1,8,1
0,1,2,1,4,1
0,3,3,1,8,1
0,4,2.66,1,24,1
0,5,2.33,1,24,1
0,6,2,1,24,1
0,7,-3,1,8,1
0,4,-2,1,8,1
0,6,-1.5,1,16,1
0,4,-1,1,16,1
0,3,0,1,8,1
0,1,2,1,4,1
0,4,3,1,8,1
0,-7,-3,1,4,1
0,-4,-2,1,8,1
0,-6,-1.5,1,16,1
0,-4,-1,1,16,1
0,-3,0,1,8,1
0,-1,2,1,4,1
0,-4,3,1,8,1
0,7,-3,1,4,1
0,4,-2,1,8,1
0,6,-1.5,1,16,1
0,4,-1,1,16,1
0,3,0,1,8,1
0,1,2,1,4,1
0,-4,3,1,8,1
0,-6,3,1,8,1
0,-7,0,1,8,1
0,-5,0,1,6,1
0,-3,0,1,6,1
0,7,0,1,6,1
0,5,0,1,6,1
0,3,0,1,6,1
0,-7,2.5,1,6,1
0,-4,2.5,1,4,1
0,0,3,1,4,1
0,2,1,1,16,1
0,4,3,1,16,1
0,6,1,1,16,1
0,8,3,1,16,1
0,7,-2.5,1,4,1
0,4,-2.5,1,4,1
0,0,-1,1,4,1
0,-2,-3,1,16,1
0,-4,-1,1,16,1
0,-6,-3,1,16,1
0,-8,-1,1,16,1
0,-2,-4,1,4,1
0,-6,-2,1,16,1
0,-2,0,1,16,1
0,-6,2,1,16,1
0,-2,4,1,16,1
0,2,-4,1,4,1
0,6,-2,1,16,1
0,2,0,1,16,1
0,6,2,1,16,1
0,2,4,1,16,1
0,-4,-3,1,4,1
0,0,-1.5,1,16,1
0,4,0,1,16,1
0,0,1.5,1,16,1
0,-4,3,1,16,1
0,4,-3,1,4,1
0,0,-1.5,1,16,1
0,-4,0,1,16,1
0,0,1.5,1,16,1
0,4,3,1,16,1
0,0,0,1,4,0.5
0,3,0,1,1,1
0,3,0,1,12,1
0,3,0,1,12,1
0,3,0,1,12,1
0,3,0,1,12,1
0,3,0,1,12,1
0,-3,0,1,12,1
0,-3,0,1,12,1
0,-3,0,1,12,1
0,-3,0,1,12,1
0,-3,0,1,12,1
0,-3,0,1,12,1
0,-6,2,1,12,1
0,-2,1,1,8,1
0,2,-1,1,8,1
0,6,-2,1,8,1
0,4,0,1,4,1
0,0,0,1,8,1
0,-4,0,1,8,1
0,-5,-1,1,8,1
0,-5,0,1,8,1
0,-5,1,1,8,1
0,-3,0.33,1,24,1
0,-1,-0.33,1,24,1
0,1,-1,1,24,1
0,3,1,1,8,1
0,7,-3,1,2,1
0,4,0,1,8,1
0,7,3,1,8,1
0,-7,-3,1,4,1
0,-5,-1.5,1,8,1
0,-3,0,1,8,1
0,-5,1.5,1,8,1
0,-7,3,1,4,1
0,-7,-3,7,8,1
0,-4,0,1,8,1
0,-7,3,1,8,1
0,7,-3,1,4,1
0,5,-1.5,1,8,1
0,3,0,1,8,1
0,5,1.5,1,8,1
0,7,3,1,4,1
0,0,3,1,4,1
0,0,0,1,8,1
0,0,-3,1,4,1
0,-7,3,1,4,1
0,-4,0,1,8,1
0,-7,-3,1,8,1
0,7,3,1,4,1
0,5,1.5,1,8,1
0,3,0,1,8,1
0,5,-1.5,1,8,1
0,7,-3,1,4,1
0,7,3,7,8,1
0,4,0,1,8,1
0,7,-3,1,8,1
0,-7,3,1,4,1
0,-5,1.5,1,8,1
0,-3,0,1,8,1
0,-5,-1.5,1,8,1
0,-7,-3,1,4,1
