êÁñ{ç˜,çïÇ§Ç≥P,16,154,,
0,7,-3,3,32,1
0,5,0,3,16,1
0,3,3,3,16,1
0,-7,-3,1,8,1
0,-5,0,3,16,1
0,-3,3,3,16,1
0,7,-3,1,8,1
0,5,0,3,16,1
0,3,3,3,16,1
0,-4,0,1,8,1
0,4,0,1,4,1
0,7,-3,1,4,1
0,5,0,3,16,1
0,3,3,3,16,1
0,-7,-3,1,8,1
0,-5,0,3,16,1
0,-3,3,3,16,1
0,6,3,1,8,1
0,2,1,1,4,1
0,-2,-1,1,4,1
0,-6,-3,1,4,1
0,7,-3,1,4,1
0,4,-2,1,8,1
0,6,-1,1,8,1
0,3,0,1,16,1
0,5,1,1,16,1
0,-7,-2,1,8,1
0,-4,-1,1,8,1
0,-6,0,1,8,1
0,-3,1,1,16,1
0,-5,2,1,16,1
0,7,-1,1,8,1
0,4,0,1,8,1
0,6,1,1,8,1
0,3,2,1,16,1
0,5,3,1,16,1
0,-6,3,1,8,1
0,-2,1,1,8,1
0,2,-1,1,8,1
0,6,-3,1,8,1
0,-7,-2,1,8,1
0,-4,-1,1,8,1
0,-6,0,1,8,1
0,-3,1,1,16,1
0,-5,2,1,16,1
0,7,-2,1,8,1
0,4,-1,1,8,1
0,6,0,1,8,1
0,3,1,1,16,1
0,5,2,1,16,1
0,-6,3,1,8,1
0,-2,1,1,8,1
0,2,-1,1,8,1
0,6,-3,1,8,1
0,2,-2,1,8,1
0,0,-1,1,16,1
0,-2,0,1,16,1
0,0,1,1,16,1
0,2,2,1,16,1
0,6,3,1,8,1
0,7,-3,1,8,1
0,4,-2,1,8,1
0,6,-1,1,8,1
0,3,0,1,16,1
0,5,1,1,16,1
0,-7,-2,1,8,1
0,-4,-1,1,8,1
0,-6,0,1,8,1
0,-3,1,1,16,1
0,-5,2,1,16,1
0,7,-1,1,8,1
0,4,0,1,8,1
0,6,1,1,8,1
0,3,2,1,16,1
0,5,3,1,16,1
0,-6,3,1,8,1
0,-2,1,1,8,1
0,2,-1,1,8,1
0,6,-3,1,8,1
0,3,-4,1,8,1
0,1,-3,1,8,1
0,-1,-2,1,8,1
0,-3,-1,1,8,1
0,-3,1,1,8,1
